seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared,variant
101,TE,ppr,2024,model,6.0,13.0,25.0,71.0,5.133333333333333,13.5,5.0,0.44033212974814306,49,allweeks
101,TE,ppr,2025,model,6.0,15.0,26.0,125.00000000000001,3.1999999999999993,12.5,2.0,0.5734480140297983,43,allweeks
101,WR,ppr,2021,model,4.0,11.0,22.0,211.54000000000002,10.405000000000001,30.0,0.0,0.2497962971007554,51,allweeks
101,WR,ppr,2022,model,6.0,12.0,18.0,259.90000000000003,4.583333333333329,12.0,1.0,0.44434807487909317,47,allweeks
101,WR,ppr,2023,model,4.0,12.0,20.0,191.3,9.441666666666672,24.0,1.0,0.370041358199741,44,allweeks
101,WR,ppr,2024,model,2.0,11.0,19.0,148.1,12.124999999999998,32.5,3.0,0.3436343777460227,44,allweeks
101,WR,ppr,2025,model,1.0,10.0,18.0,127.5,11.641666666666671,40.5,2.0,0.1594957484530659,49,allweeks
17,RB,ppr,2021,model,6.0,16.0,26.0,177.60000000000002,6.499999999999997,13.0,2.0,0.5901969922379207,48,allweeks
17,RB,ppr,2022,model,4.0,16.0,26.0,192.70000000000002,7.158333333333334,18.5,0.0,0.6019688620717821,46,allweeks
17,RB,ppr,2023,model,5.0,12.0,25.0,175.00000000000003,6.224999999999999,20.0,1.0,0.42018747376493487,49,allweeks
17,RB,ppr,2024,model,4.0,15.0,28.0,195.70000000000002,5.866666666666667,15.5,1.0,0.28190609045031884,41,allweeks
17,RB,ppr,2025,model,6.0,19.0,26.0,208.2,2.5916666666666686,12.0,0.0,0.5810600773969881,49,allweeks
17,WR,ppr,2021,model,4.0,11.0,21.0,211.54000000000002,10.405000000000001,30.0,0.0,0.2703621626803439,51,allweeks
17,WR,ppr,2022,model,6.0,12.0,18.0,259.9,4.583333333333333,12.0,1.0,0.4467771545543401,47,allweeks
17,WR,ppr,2023,model,4.0,12.0,20.0,191.3,9.441666666666672,24.0,1.0,0.3452322920697705,45,allweeks
17,WR,ppr,2024,model,2.0,11.0,19.0,148.1,12.124999999999998,32.5,3.0,0.38593276577628555,44,allweeks
17,WR,ppr,2025,model,1.0,10.0,18.0,127.5,11.641666666666671,40.5,2.0,0.15551473457167742,49,allweeks
17,QB,qb_4pt,2021,model,5.0,18.0,33.0,245.72,7.006666666666668,17.5,1.0,0.7077773187283227,48,allweeks
17,QB,qb_4pt,2022,model,7.0,17.0,33.0,213.56,5.621666666666665,10.0,2.0,0.6818157621383583,45,allweeks
17,QB,qb_4pt,2023,model,5.0,18.0,32.0,159.82,6.553333333333337,17.5,2.0,0.5751600336030894,45,allweeks
17,QB,qb_4pt,2024,model,7.0,19.0,33.0,207.82,4.730000000000004,11.0,0.0,0.832305645939458,49,allweeks
17,QB,qb_4pt,2025,model,6.0,18.0,32.0,244.05999999999997,6.663333333333334,12.0,0.0,0.6828319280368673,43,allweeks
17,TE,ppr,2021,model,6.0,12.0,25.0,137.1,5.858333333333337,16.5,3.0,0.3712773385926238,49,allweeks
17,TE,ppr,2022,model,5.0,14.0,22.0,106.2,4.841666666666668,14.5,5.0,0.4505005066756408,47,allweeks
17,TE,ppr,2023,model,4.0,10.0,23.0,66.4,4.891666666666667,27.0,6.0,0.1958089528087237,45,allweeks
17,TE,ppr,2024,model,6.0,13.0,25.0,71.0,5.133333333333333,13.5,5.0,0.4320819874358597,49,allweeks
17,TE,ppr,2025,model,6.0,15.0,26.0,125.00000000000001,3.1999999999999993,12.5,2.0,0.5717851886299491,43,allweeks
