seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared
101,TE,half_ppr,2023,model,4.0,11.0,22.0,48.699999999999996,4.275000000000001,22.0,6.0,0.34100167978271245,45
101,TE,half_ppr,2023,consensus,4.0,13.0,24.0,46.8,4.4333333333333345,23.5,6.0,0.3929670089359414,45
101,TE,half_ppr,2023,prior_ppg,4.0,10.0,22.0,46.49999999999999,4.458333333333335,23.5,6.0,0.2699134239273591,41
101,TE,half_ppr,2024,model,5.0,13.0,24.0,53.9,4.441666666666668,13.5,6.0,0.4450143480712736,50
101,TE,half_ppr,2024,consensus,6.0,12.0,24.0,61.300000000000004,3.825000000000001,12.0,5.0,0.43946192862587957,50
101,TE,half_ppr,2024,prior_ppg,4.0,12.0,19.0,44.800000000000004,5.200000000000001,19.0,7.0,0.16809222485067044,47
101,TE,half_ppr,2025,model,4.0,12.0,21.0,84.89999999999999,4.016666666666667,15.5,5.0,0.37670560346779725,48
101,TE,half_ppr,2025,consensus,5.0,14.0,25.0,92.89999999999999,3.35,15.0,4.0,0.6531339253891962,48
101,TE,half_ppr,2025,prior_ppg,6.0,15.0,25.0,93.5,3.2999999999999994,13.0,3.0,0.5622976997390357,43
101,TE,ppr,2021,model,6.0,14.0,21.0,150.99999999999997,4.7000000000000055,13.5,1.0,0.4490914094140237,52
101,TE,ppr,2021,consensus,8.0,14.0,26.0,154.70000000000002,4.391666666666668,8.5,2.0,0.6145585083970456,46
101,TE,ppr,2021,prior_ppg,7.0,13.0,23.0,147.4,5.000000000000003,9.0,2.0,0.375003611017154,44
101,TE,ppr,2022,model,5.0,13.0,24.0,95.6,5.725000000000001,23.0,6.0,0.42924222241305887,47
101,TE,ppr,2022,consensus,6.0,14.0,21.0,107.5,4.733333333333334,12.0,4.0,0.4732393322604429,46
101,TE,ppr,2022,prior_ppg,5.0,12.0,21.0,106.50000000000001,4.816666666666666,14.5,4.0,0.34953404725905135,45
101,TE,ppr,2023,model,3.0,11.0,22.0,64.7,5.033333333333334,24.0,6.0,0.2908035338889959,45
101,TE,ppr,2023,consensus,2.0,13.0,24.0,61.3,5.316666666666667,24.0,6.0,0.378290755820826,45
101,TE,ppr,2023,prior_ppg,3.0,10.0,22.0,62.99999999999999,5.175000000000002,23.5,6.0,0.2743041746169367,41
101,TE,ppr,2024,model,6.0,13.0,23.0,72.1,5.041666666666667,13.5,5.0,0.46000691383540554,51
101,TE,ppr,2024,consensus,7.0,12.0,24.0,81.3,4.2749999999999995,11.5,4.0,0.45850377212270443,51
101,TE,ppr,2024,prior_ppg,5.0,12.0,19.0,61.800000000000004,5.899999999999999,19.0,6.0,0.21674717334306687,48
101,TE,ppr,2025,model,5.0,13.0,25.0,108.19999999999999,4.641666666666668,14.5,2.0,0.38849468242752877,46
101,TE,ppr,2025,consensus,5.0,15.0,26.0,116.39999999999999,3.9583333333333344,15.5,2.0,0.6124315600644965,46
101,TE,ppr,2025,prior_ppg,5.0,14.0,26.0,116.0,3.991666666666667,13.5,2.0,0.5109021774539426,41
101,WR,half_ppr,2021,model,4.0,9.0,21.0,189.8,8.541666666666666,25.0,1.0,0.21863802507186944,48
101,WR,half_ppr,2021,consensus,3.0,8.0,19.0,168.04,10.355000000000002,35.0,0.0,0.09623114267942191,48
101,WR,half_ppr,2021,prior_ppg,4.0,8.0,19.0,183.14,9.09666666666667,29.5,1.0,0.031123457712891944,47
